2024-07-11 14:45:51,855 INFO    Thread-79 :44210 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-11 14:45:51,856 INFO    Thread-79 :44210 [wandb_setup.py:_flush():76] Configure stats pid to 44210
2024-07-11 14:45:51,856 INFO    Thread-79 :44210 [wandb_setup.py:_flush():76] Loading settings from /home/chiar/.config/wandb/settings
2024-07-11 14:45:51,856 INFO    Thread-79 :44210 [wandb_setup.py:_flush():76] Loading settings from /home/chiar/mldl-main/wandb/settings
2024-07-11 14:45:51,856 INFO    Thread-79 :44210 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'target-target-callback', 'entity': 'poli_to', 'root_dir': '/home/chiar/mldl-main', 'run_id': '75bryo8d', 'sweep_param_path': '/home/chiar/mldl-main/wandb/sweep-d0ri5wa2/config-75bryo8d.yaml', 'sweep_id': 'd0ri5wa2'}
2024-07-11 14:45:51,856 INFO    Thread-79 :44210 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-11 14:45:51,856 INFO    Thread-79 :44210 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_sb3_tuning.py', 'program_abspath': '/home/chiar/mldl-main/train_sb3_tuning.py', 'program': 'train_sb3_tuning.py'}
2024-07-11 14:45:51,856 INFO    Thread-79 :44210 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-11 14:45:51,856 INFO    Thread-79 :44210 [wandb_init.py:_log_setup():529] Logging user logs to /home/chiar/mldl-main/wandb/run-20240711_144551-75bryo8d/logs/debug.log
2024-07-11 14:45:51,856 INFO    Thread-79 :44210 [wandb_init.py:_log_setup():530] Logging internal logs to /home/chiar/mldl-main/wandb/run-20240711_144551-75bryo8d/logs/debug-internal.log
2024-07-11 14:45:51,856 INFO    Thread-79 :44210 [wandb_init.py:init():569] calling init triggers
2024-07-11 14:45:51,856 INFO    Thread-79 :44210 [wandb_init.py:init():577] wandb.init called with sweep_config: {'batch_size': 16, 'learning_rate': 0.001, 'n_epochs': 10, 'n_steps': 2048}
config: {}
2024-07-11 14:45:51,856 INFO    Thread-79 :44210 [wandb_init.py:init():619] starting backend
2024-07-11 14:45:51,856 INFO    Thread-79 :44210 [wandb_init.py:init():623] setting up manager
2024-07-11 14:45:51,865 INFO    Thread-79 :44210 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-11 14:45:51,866 INFO    Thread-79 :44210 [wandb_init.py:init():631] backend started and connected
2024-07-11 14:45:51,873 INFO    Thread-79 :44210 [wandb_run.py:_config_callback():1382] config_cb None None {'batch_size': 16, 'learning_rate': 0.001, 'n_epochs': 10, 'n_steps': 2048}
2024-07-11 14:45:51,874 INFO    Thread-79 :44210 [wandb_init.py:init():720] updated telemetry
2024-07-11 14:45:51,875 INFO    Thread-79 :44210 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-11 14:45:52,303 INFO    Thread-79 :44210 [wandb_run.py:_on_init():2402] communicating current version
2024-07-11 14:45:52,387 INFO    Thread-79 :44210 [wandb_run.py:_on_init():2411] got version response 
2024-07-11 14:45:52,388 INFO    Thread-79 :44210 [wandb_init.py:init():804] starting run threads in backend
2024-07-11 14:45:53,731 INFO    Thread-79 :44210 [wandb_run.py:_console_start():2380] atexit reg
2024-07-11 14:45:53,731 INFO    Thread-79 :44210 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-11 14:45:53,731 INFO    Thread-79 :44210 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-11 14:45:53,731 INFO    Thread-79 :44210 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-11 14:45:53,731 INFO    Thread-79 :44210 [wandb_init.py:init():847] run started, returning control to user process
2024-07-11 14:45:58,588 INFO    Thread-79 :44210 [wandb_run.py:_finish():2109] finishing run poli_to/target-target-callback/75bryo8d
2024-07-11 14:45:58,588 INFO    Thread-79 :44210 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 0
2024-07-11 14:45:58,588 INFO    Thread-79 :44210 [wandb_run.py:_restore():2332] restore
2024-07-11 14:45:58,588 INFO    Thread-79 :44210 [wandb_run.py:_restore():2338] restore done
2024-07-11 14:46:02,391 INFO    Thread-79 :44210 [wandb_run.py:_footer_history_summary_info():3991] rendering history
2024-07-11 14:46:02,392 INFO    Thread-79 :44210 [wandb_run.py:_footer_history_summary_info():4023] rendering summary
2024-07-11 14:46:02,400 INFO    Thread-79 :44210 [wandb_run.py:_footer_sync_info():3950] logging synced files
